release_pos_x,release_pos_z,release_speed,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,effective_speed,release_spin_rate,release_extension,release_pos_y,pitch_number,spin_axis,pitch_name_4-Seam Fastball,pitch_name_Changeup,pitch_name_Curveball,pitch_name_Cutter,pitch_name_Knuckle Curve,pitch_name_Sinker,pitch_name_Slider,pitch_name_Split-Finger,balls_0,balls_1,balls_2,balls_3,strikes_0,strikes_1,strikes_2,outs_when_up_0,outs_when_up_1,outs_when_up_2,zone_1,zone_2,zone_3,zone_4,zone_6,zone_7,zone_8,zone_9,zone_11,zone_12,zone_13,zone_14,p_throws_L,p_throws_R,stand_L,stand_R
2.31,5.22,93.9,0.6,1.34,-0.16,1.68,-7.764599377593477,-136.44216640313715,-6.434908166729496,9.17338352028113,30.59728818035788,-14.21911977480218,94.4,2308,6.7,53.81,2,140,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2.15,5.32,95.1,0.7,1.18,0.04,1.45,-7.138294436948193,-138.27243301246614,-7.186480820653628,10.494273180873098,29.503116341695737,-15.640131326269838,95.8,2199,6.6,53.88,1,139,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2.39,5.19,91.8,1.0,1.09,-0.24,1.54,-8.806303537205709,-133.41685470766024,-5.72834135297569,13.879933953055946,28.19478729425688,-18.070968313249573,91.6,2310,6.2,54.33,4,134,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2.47,5.18,81.0,1.36,0.63,0.49,1.37,-6.984316707708255,-117.80465001045414,-3.059904820530968,13.973838125942777,22.78421894546195,-25.88646387072905,80.7,1610,6.2,54.35,3,118,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2.58,5.21,81.6,-0.72,0.51,-0.93,2.63,-6.445435304179828,-118.62558116653278,-0.125903731275682,-5.455492013835636,24.30851619167841,-27.63453893861123,80.7,2675,5.9,54.62,2,239,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2.54,5.3,77.6,-0.64,-0.68,-0.57,1.86,-5.4701397165646135,-112.97987491656406,0.7967062284369648,-4.483844939889654,20.72202347552407,-38.36201430801805,77.3,2760,6.0,54.47,1,303,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2.46,5.27,83.1,0.72,0.74,0.5,1.7,-5.875608828340735,-120.81865533506888,-3.1013697058226413,8.24431788775257,25.92230158053609,-24.52407740381991,82.6,1581,6.2,54.26,3,118,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2.66,5.16,81.6,-0.69,0.32,-0.9,2.22,-6.6383710043505575,-118.55219002975358,-0.46683447160339,-4.806439459644578,27.74531658298542,-29.38184697393619,80.3,2567,6.0,54.53,2,280,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2.48,5.35,93.5,0.55,1.42,-0.26,1.72,-8.208493581812814,-135.7114429591941,-6.608520525299144,8.792483693613912,34.57142665103055,-13.372729421498134,92.3,2253,6.1,54.42,1,140,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
-2.53,4.12,87.8,-1.28,-0.6,-0.85,2.77,6.549833031623013,-127.56178766203062,4.04118576981658,-15.390710563064566,28.341229477007374,-39.86278113525571,85.4,2335,5.0,55.53,2,272,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
