release_pos_x,release_pos_z,release_speed,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,effective_speed,release_spin_rate,release_extension,release_pos_y,pitch_number,spin_axis,pitch_name_4-Seam Fastball,pitch_name_Changeup,pitch_name_Curveball,pitch_name_Cutter,pitch_name_Knuckle Curve,pitch_name_Sinker,pitch_name_Slider,pitch_name_Split-Finger,balls_0,balls_1,balls_2,balls_3,strikes_0,strikes_1,strikes_2,outs_when_up_0,outs_when_up_1,outs_when_up_2,zone_1,zone_2,zone_3,zone_4,zone_6,zone_7,zone_8,zone_9,zone_11,zone_12,zone_13,zone_14,p_throws_L,p_throws_R,stand_L,stand_R
-0.74,6.88,95.2,-0.39,1.75,0.44,1.38,3.881572388504439,-138.0465441961971,-12.36519925830127,-5.836872293485946,33.60989015689194,-7.12264282680522,92.9,2308,5.3,55.2,4,200,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
-0.67,6.94,94.9,-0.45,1.8,0.9,1.75,5.000128672007409,-137.62190070803945,-11.614200813590084,-6.875330561509201,34.515819888651805,-6.80152954061868,92.6,2279,5.4,55.1,3,193,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
-0.4,6.47,81.2,-0.1,-0.19,0.27,3.23,1.649171585714523,-118.29555216623817,-0.2872780179784148,-1.2426432269711234,24.04208367446285,-34.074559148982054,80.0,1165,5.5,54.99,4,289,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
-0.6,6.5,80.9,-0.05,-0.02,0.87,2.46,3.339954483957312,-117.76574080879932,-2.263589193246906,-1.160627812371389,24.099857401082648,-32.15818766210576,79.8,2778,5.7,54.8,3,270,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
-0.29,6.41,93.8,-0.24,1.55,0.43,3.58,2.372736906820861,-136.525987382151,-4.971873604307311,-3.594412355502785,31.23874622456653,-11.865248380062212,92.8,2409,5.7,54.75,2,196,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
2.66,4.99,88.7,1.75,0.01,0.98,1.34,-7.73520327232086,-128.85027556225296,-2.8295995459552,21.13179917077117,28.7191969432365,-31.63113749696696,88.2,2306,6.2,54.29,3,102,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2.62,5.32,93.4,1.68,0.61,0.91,2.95,-8.052529278322062,-135.8374093984638,-1.6648236743367488,22.565294070015216,30.924071422708007,-24.49766148845389,92.9,2479,6.1,54.37,1,120,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
-1.86,5.87,91.5,-1.17,0.72,-0.11,1.64,6.941080941522817,-132.97505178448606,-6.34426468181483,-15.387630388516737,28.209845140795917,-22.490457862098715,91.5,1957,6.4,54.14,2,212,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
-1.87,6.1,89.0,-0.82,1.05,-1.09,3.28,3.617518774562104,-129.6253247389173,-3.1066218809069253,-9.974208721633133,26.17358753951618,-19.892166198056504,89.0,1808,6.2,54.32,1,209,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
-1.95,6.1,91.4,-1.22,0.69,0.84,2.02,9.624282390523003,-132.6980786593126,-5.880025111412328,-16.47266322097914,27.810783398558176,-22.8881871610364,91.1,1901,6.2,54.31,1,211,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
