release_pos_x,release_pos_z,release_speed,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,effective_speed,release_spin_rate,release_extension,release_pos_y,pitch_number,spin_axis,pitch_name_4-Seam Fastball,pitch_name_Changeup,pitch_name_Curveball,pitch_name_Cutter,pitch_name_Knuckle Curve,pitch_name_Sinker,pitch_name_Slider,pitch_name_Split-Finger,balls_0,balls_1,balls_2,balls_3,strikes_0,strikes_1,strikes_2,outs_when_up_0,outs_when_up_1,outs_when_up_2,zone_1,zone_2,zone_3,zone_4,zone_6,zone_7,zone_8,zone_9,zone_11,zone_12,zone_13,zone_14,p_throws_L,p_throws_R,stand_L,stand_R
-1.98,6.26,85.2,-0.79,1.21,-0.44,1.69,5.184286537498163,-123.8386059446979,-6.800701376729757,-9.185624606505575,25.170932704911028,-18.59686593796298,84.7,1532,6.1,54.44,2,223,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
-2.26,6.42,85.2,0.51,0.45,-1.05,1.48,1.8155099142941884,-124.02529387197733,-6.132140277685552,4.823759874742414,25.86340091190062,-26.507363649180117,84.6,2147,6.0,54.54,1,174,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
-2.57,5.85,97.6,-0.01,1.27,0.14,3.57,7.36101407863743,-141.883062332947,-3.522513052228544,-2.0564719440445907,35.84370774184335,-14.433119532680433,97.9,2264,6.7,53.76,1,212,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
-2.19,6.48,86.1,0.38,0.78,-0.74,2.6,2.6538144289261307,-125.37209460394902,-4.535960164808549,3.4288469675836954,25.7149348435339,-23.20932273400012,85.5,2290,5.9,54.61,1,176,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
-2.4,5.82,96.6,-0.22,1.1,0.89,1.58,9.31947875053754,-140.2438631810477,-8.307235995322165,-4.89064105987441,30.400242624498283,-15.93460038002544,97.4,2064,6.8,53.73,5,217,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
-2.92,5.63,84.3,1.02,0.14,-1.05,1.99,2.3475928663443923,-122.77907760296782,-2.3748630182457013,9.8299767861118,24.239255041553253,-30.498484119991076,85.1,2444,6.8,53.75,4,55,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
-2.79,5.66,92.5,0.15,0.51,-1.0,2.1,4.275234674968435,-134.71617416896353,-4.440000270035896,0.929519802594322,28.530600162013464,-25.265100059056003,93.5,2359,6.8,53.7,1,200,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
-2.63,5.7,85.0,1.23,0.3,0.58,1.51,5.088705183007698,-123.76256485685263,-4.138560737162313,11.580509320799932,25.25912860102448,-28.408585385192385,85.7,2561,6.7,53.77,1,66,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
-2.14,6.48,83.7,0.06,0.7,0.48,1.89,5.877997463928179,-121.56707565237944,-5.3857942467862445,-0.772779837484823,27.517326156464627,-24.33892865638636,82.3,2205,5.8,54.67,1,176,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
-2.47,5.94,97.0,-0.48,1.14,-0.56,2.16,6.24614254925484,-141.11554648201152,-7.241205655880448,-7.839109905261499,31.25852487639409,-15.472882336251546,97.7,2179,6.6,53.85,2,220,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
-2.74,5.54,83.7,1.4,0.25,-0.93,1.94,1.4368075655675905,-121.87548313531596,-2.36107312631866,13.535208112190968,25.795397749876575,-29.429175369345145,84.2,2595,6.7,53.77,5,64,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
-2.61,5.62,84.6,1.06,0.23,-0.68,1.13,2.403049411400232,-123.1636069688868,-4.587024065461282,10.224291962331565,25.54897935875735,-29.08470219009689,85.3,2559,6.8,53.68,4,69,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
-2.58,5.78,96.3,-0.29,1.28,-0.93,2.2,5.090517424425787,-140.0328494759038,-6.868188172542195,-5.039612233010151,33.43145976023105,-13.909750135457726,96.8,2108,6.8,53.73,3,214,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
-2.63,5.81,83.5,1.0,0.4,-0.82,2.9,2.2407008426479087,-121.76845712492032,-1.107154552122117,9.543633165839765,22.25999085819097,-28.21288393986745,84.5,2370,6.7,53.83,4,77,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
4.21,4.42,89.0,1.5,0.36,0.01,1.68,-13.28368539202308,-129.00344506280186,-1.4058034396943495,19.48530849539295,26.07887351359952,-28.041592538968683,88.0,2004,5.8,54.68,1,103,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
-2.94,5.65,83.0,1.16,0.31,-0.77,3.0,2.7068930638141966,-120.8938896711966,-0.1914402010494453,10.834514084582462,24.03614353197728,-29.32027054293586,83.6,2465,6.7,53.82,1,63,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
-2.76,5.75,82.1,0.99,0.43,0.15,1.72,4.70727852516403,-119.4439921533348,-3.3738542266063765,8.41454951485113,25.548607056018493,-27.57245814014196,82.3,2468,6.7,53.79,1,69,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
-2.69,5.76,83.1,1.43,0.33,0.45,1.47,4.428764907994227,-120.93654748588702,-4.016441921419464,13.02310941680256,25.24393828924816,-28.32058623457701,83.6,2438,6.8,53.72,1,67,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
-2.21,6.21,76.9,0.97,-1.36,-0.86,3.09,1.1066025293179769,-111.8346364827341,3.010566956209566,7.733304016501573,24.446895340119088,-44.2946879468955,76.5,2581,6.5,53.96,1,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
-2.68,5.66,85.1,1.21,0.48,0.01,1.83,3.8913538233877554,-123.91251561597782,-3.6114756675697217,11.577848837439516,26.609653676381942,-26.73982485839028,85.5,2585,6.7,53.79,1,68,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
-2.84,5.67,89.5,0.37,0.52,0.89,2.0,8.495295206013497,-130.14221032493612,-4.165047101497286,2.415599069396034,27.243561608031367,-25.57287535248657,90.1,2416,6.7,53.78,3,190,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
-2.75,5.59,84.7,1.11,0.31,0.9,1.79,6.376036322240815,-123.18511413516764,-3.096961278709957,9.799532533174714,26.683292773959984,-28.60910862774357,85.2,2551,6.8,53.68,2,63,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
-2.88,5.72,84.0,1.0,0.32,-1.02,2.94,2.3328633851991434,-122.29903869677788,-0.6100125311278566,9.452172554735288,27.085304205039236,-29.066227820502192,84.1,2521,6.6,53.87,1,69,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
-2.62,5.75,84.9,1.16,0.42,0.73,2.19,5.566184471932613,-123.47753115041904,-2.840178899136558,10.628822983478702,25.71738716511374,-27.54233898319207,85.5,2456,6.8,53.7,3,73,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
-2.9,5.71,82.8,1.47,0.17,0.26,1.46,4.396925285175867,-120.53834394618556,-3.570079598213673,13.372006763988326,24.23095902689956,-30.00498137162438,83.3,2446,6.7,53.82,1,72,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
-1.72,5.71,87.1,-1.24,0.51,-0.59,2.95,5.203210022264557,-126.74824555840128,-1.4920106623684677,-14.424395252216089,25.963882186992144,-26.615748616369217,86.2,1775,5.7,54.76,3,249,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
-1.92,5.33,87.4,-1.28,0.31,-0.84,3.66,5.194858803029965,-127.12691029609962,1.4706203177202846,-14.985064979917668,26.23367729991266,-29.30999469574113,86.7,1719,5.9,54.64,2,255,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
-1.79,5.28,93.5,-1.11,1.04,-1.07,2.83,4.269085635793281,-136.04176354618386,-2.7988285437669567,-14.73085302008957,30.891314685615203,-18.93059531780229,92.5,2126,5.8,54.7,1,232,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
-2.52,6.35,78.7,0.59,-0.64,-0.99,2.89,2.2158173575267397,-114.5824137108633,0.5149470666849223,4.794621754193246,22.010294022291696,-38.10213438278837,78.3,2472,6.0,54.47,1,37,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
-2.89,5.96,82.6,1.18,0.18,1.05,1.49,6.61326494304102,-120.15221069847824,-3.975797652809576,10.01280973093271,24.812341672825603,-29.784322884852678,81.9,2447,6.0,54.52,3,57,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
-2.58,6.28,93.4,-0.46,1.28,-0.35,1.65,6.725914450532606,-135.71193231073295,-8.965094799652407,-7.122990808823269,28.93505098749113,-14.619938456446643,93.2,2009,6.2,54.33,1,209,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
-1.99,5.33,93.0,-1.2,1.02,0.38,1.37,8.574166253141374,-135.06332147699098,-6.478195832403975,-16.583838504006327,31.64002168513661,-18.40908099597719,91.5,2184,5.7,54.83,1,237,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
-2.43,6.2,93.9,-0.47,1.19,0.89,2.26,9.572966881456734,-136.24947754435962,-7.038103007928564,-7.9890479159809855,29.72149039764063,-15.932122938436592,93.2,1888,6.0,54.48,2,221,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
